Year;Month;Period;Remittances
1995;January;Jan 1995;254,5724
1995;February;Feb 1995;248,0605
1995;March;Mar 1995;287,3645
1995;April;Apr 1995;298,9135
1995;May;May 1995;357,7396
1995;June;Jun 1995;352,3695
1995;July;Jul 1995;342,8993
1995;August;Aug 1995;362,2739
1995;September;Sep 1995;314,1492
1995;October;Oct 1995;324,5033
1995;November;Nov 1995;255,5922
1995;December;Dec 1995;274,2883
1996;January;Jan 1996;313,5091
1996;February;Feb 1996;281,9257
1996;March;Mar 1996;337,3185
1996;April;Apr 1996;393,3877
1996;May;May 1996;413,542
1996;June;Jun 1996;365,2451
1996;July;Jul 1996;373,6705
1996;August;Aug 1996;386,0666
1996;September;Sep 1996;339,2533
1996;October;Oct 1996;348,901
1996;November;Nov 1996;315,6016
1996;December;Dec 1996;355,2609
1997;January;Jan 1997;338,6477
1997;February;Feb 1997;331,5918
1997;March;Mar 1997;381,9072
1997;April;Apr 1997;425,5386
1997;May;May 1997;486,6894
1997;June;Jun 1997;453,5596
1997;July;Jul 1997;441,6863
1997;August;Aug 1997;428,9022
1997;September;Sep 1997;431,4678
1997;October;Oct 1997;421,6681
1997;November;Nov 1997;343,4307
1997;December;Dec 1997;379,755
1998;January;Jan 1998;382,5317
1998;February;Feb 1998;366,3982
1998;March;Mar 1998;427,1949
1998;April;Apr 1998;439,995
1998;May;May 1998;520,3739
1998;June;Jun 1998;503,4876
1998;July;Jul 1998;494,3256
1998;August;Aug 1998;486,607
1998;September;Sep 1998;476,2905
1998;October;Oct 1998;454,6739
1998;November;Nov 1998;460,6924
1998;December;Dec 1998;614,271
1999;January;Jan 1999;399,6423
1999;February;Feb 1999;388,8511
1999;March;Mar 1999;464,8977
1999;April;Apr 1999;469,1828
1999;May;May 1999;571,562
1999;June;Jun 1999;521,9225
1999;July;Jul 1999;506,6642
1999;August;Aug 1999;532,0997
1999;September;Sep 1999;490,4829
1999;October;Oct 1999;474,5069
1999;November;Nov 1999;502,0073
1999;December;Dec 1999;587,7353
2000;January;Jan 2000;456,2456
2000;February;Feb 2000;447,187
2000;March;Mar 2000;494,4502
2000;April;Apr 2000;498,8308
2000;May;May 2000;590,7496
2000;June;Jun 2000;541,5775
2000;July;Jul 2000;557,598
2000;August;Aug 2000;608,0612
2000;September;Sep 2000;568,5493
2000;October;Oct 2000;559,5235
2000;November;Nov 2000;583,1218
2000;December;Dec 2000;666,8485
2001;January;Jan 2001;654,982
2001;February;Feb 2001;637,6737
2001;March;Mar 2001;718,055
2001;April;Apr 2001;734,8058
2001;May;May 2001;798,2438
2001;June;Jun 2001;747,837
2001;July;Jul 2001;796,5951
